source_id,target,pollutant,status,method_category,activity_record,parameter_record,control_record,generation_t,emission_t,standard_reference,reason_codes,minimum_recalculation_complete,complete_process_record,run_id,method
SRC-IND-000002,INDUSTRIAL,SO2,calculated,expert_excel_workbook,"{""unit"":"""",""value"":""""}","{""unit"":"""",""value"":""""}","{""efficiency"":"""",""method"":""既有专家主导型工作簿""}",8.48e-06,8.48e-06,既有专家主导型清单编制流程,,False,False,B-S4-IND-HUM,expert_led
SRC-IND-000002,INDUSTRIAL,NOx,calculated,expert_excel_workbook,"{""unit"":"""",""value"":""""}","{""unit"":"""",""value"":""""}","{""efficiency"":"""",""method"":""既有专家主导型工作簿""}",0.044308,0.044308,既有专家主导型清单编制流程,,False,False,B-S4-IND-HUM,expert_led
SRC-IND-000002,INDUSTRIAL,CO,calculated,expert_excel_workbook,"{""unit"":"""",""value"":""""}","{""unit"":"""",""value"":""""}","{""efficiency"":"""",""method"":""既有专家主导型工作簿""}",0.02756,0.02756,既有专家主导型清单编制流程,,False,False,B-S4-IND-HUM,expert_led
SRC-IND-000002,INDUSTRIAL,VOC,calculated,expert_excel_workbook,"{""unit"":"""",""value"":""""}","{""unit"":"""",""value"":""""}","{""efficiency"":"""",""method"":""既有专家主导型工作簿""}",0.000636,0.000636,既有专家主导型清单编制流程,,False,False,B-S4-IND-HUM,expert_led
SRC-IND-000002,INDUSTRIAL,PM10,calculated,expert_excel_workbook,"{""unit"":"""",""value"":""""}","{""unit"":"""",""value"":""""}","{""efficiency"":"""",""method"":""既有专家主导型工作簿""}",0.000636,0.000636,既有专家主导型清单编制流程,,False,False,B-S4-IND-HUM,expert_led
SRC-IND-000002,INDUSTRIAL,PM2.5,calculated,expert_excel_workbook,"{""unit"":"""",""value"":""""}","{""unit"":"""",""value"":""""}","{""efficiency"":"""",""method"":""既有专家主导型工作簿""}",0.0,0.0,既有专家主导型清单编制流程,,False,False,B-S4-IND-HUM,expert_led
SRC-IND-000002,INDUSTRIAL,BC,calculated,expert_excel_workbook,"{""unit"":"""",""value"":""""}","{""unit"":"""",""value"":""""}","{""efficiency"":"""",""method"":""既有专家主导型工作簿""}",0.0,0.0,既有专家主导型清单编制流程,,False,False,B-S4-IND-HUM,expert_led
SRC-IND-000002,INDUSTRIAL,OC,calculated,expert_excel_workbook,"{""unit"":"""",""value"":""""}","{""unit"":"""",""value"":""""}","{""efficiency"":"""",""method"":""既有专家主导型工作簿""}",0.002544,0.002544,既有专家主导型清单编制流程,,False,False,B-S4-IND-HUM,expert_led
SRC-IND-000002,INDUSTRIAL,NH3,calculated,expert_excel_workbook,"{""unit"":"""",""value"":""""}","{""unit"":"""",""value"":""""}","{""efficiency"":"""",""method"":""既有专家主导型工作簿""}",0.0,0.0,既有专家主导型清单编制流程,,False,False,B-S4-IND-HUM,expert_led
SRC-IND-000003,INDUSTRIAL,SO2,calculated,expert_excel_workbook,"{""unit"":"""",""value"":""""}","{""unit"":"""",""value"":""""}","{""efficiency"":"""",""method"":""既有专家主导型工作簿""}",0.001752864,0.001752864,既有专家主导型清单编制流程,,False,False,B-S4-IND-HUM,expert_led
